,rankingNoteText,nonResponderText,nonResponder,act_avg,primaryPhoto,primaryPhotoThumb,sat_avg,enrollment,city,zip,acceptance_rate,rankingDisplayScore,percent_receiving_aid,cost_after_aid,state,rankingSortRank,hs_gpa_avg,urlName,rankingDisplayName,rankingDisplayRank,ranking,isPublic,businessRepScore,tuition,engineeringRepScore,displayName,schoolType,region,aliasNames,rankingType,overallRank,institutionalControl
1,NA,NA,FALSE,32,https://www.usnews.com/img/college-photo_31291.jpg,https://www.usnews.com/img/college-photo_31291_170x170mm.jpg,1400,5400,Princeton,8544,7,100,60,16793,NJ,1,3.9,princeton-university,National Universities,#1,overall,TRUE,NA,47140,4.1,Princeton University,national-universities,NA,NA,national-universities,1,private
2,NA,NA,FALSE,32,https://www.usnews.com/img/college-photo_8866.jpg,https://www.usnews.com/img/college-photo_8866_170x170mm.jpg,1430,6710,Cambridge,2138,5,98,55,16338,MA,2,4,harvard-university,National Universities,#2,overall,TRUE,NA,48949,3.6,Harvard University,national-universities,NA,NA,national-universities,2,private
3,NA,NA,FALSE,32,https://www.usnews.com/dims4/USNEWS/5b128f0/17177859217/resize/800x540/quality/85/?url=www.usnews.com%2Fcmsmedia%2F97%2Fa2%2F70c471924fa1ae47788aafc952b4%2F160727-univerity-of-chicago-hero-stock.jpg,https://www.usnews.com/dims4/USNEWS/196469f/17177859217/resize/170x170/quality/85/?url=www.usnews.com%2Fcmsmedia%2F97%2Fa2%2F70c471924fa1ae47788aafc952b4%2F160727-univerity-of-chicago-hero-stock.jpg,1450,5941,Chicago,60637,8,96,42,27767,IL,3,4,university-of-chicago,National Universities,#3,overall,TRUE,NA,54825,NA,University of Chicago,national-universities,NA,UChicago,national-universities,3,private
4,NA,NA,FALSE,32,https://www.usnews.com/dims4/USNEWS/60348dd/17177859217/resize/800x540/quality/85/?url=www.usnews.com%2Fcmsmedia%2F63%2F64%2Facbcdd85417f8f9d141439d4a505%2F160727-yale-university-hero-stock.jpg,https://www.usnews.com/dims4/USNEWS/1ca230f/17177859217/resize/170x170/quality/85/?url=www.usnews.com%2Fcmsmedia%2F63%2F64%2Facbcdd85417f8f9d141439d4a505%2F160727-yale-university-hero-stock.jpg,1420,5472,New Haven,6520,6,96,50,18385,CT,3,NA,yale-university,National Universities,#3,overall,TRUE,NA,51400,3.4,Yale University,national-universities,NA,NA,national-universities,3,private
5,NA,NA,FALSE,32,https://www.usnews.com/img/college-photo_19002.jpg,https://www.usnews.com/img/college-photo_19002_170x170mm.jpg,1430,6113,New York,10027,6,95,48,21041,NY,5,NA,columbia-university,National Universities,#5,overall,TRUE,NA,57208,3.8,Columbia University,national-universities,NA,NA,national-universities,5,private
6,NA,NA,FALSE,33,https://www.usnews.com/img/college-photo_6935.jpg,https://www.usnews.com/img/college-photo_6935_170x170mm.jpg,1460,4524,Cambridge,2139,8,95,58,20331,MA,5,NA,mit,National Universities,#5,overall,TRUE,4.6,49892,4.9,Massachusetts Institute of Technology,national-universities,NA,MIT,national-universities,5,private
7,NA,NA,FALSE,31,https://www.usnews.com/img/college-photo_10369.jpg,https://www.usnews.com/img/college-photo_10369_170x170mm.jpg,1380,7034,Stanford,94305,5,95,47,19296,CA,5,NA,stanford,National Universities,#5,overall,TRUE,NA,49617,4.8,Stanford University,national-universities,NA,NA,national-universities,5,private
8,NA,NA,FALSE,32,https://www.usnews.com/img/college-photo_2743.jpg,https://www.usnews.com/img/college-photo_2743_170x170mm.jpg,1380,10019,Philadelphia,19104,9,93,47,25441,PA,8,3.9,university-of-pennsylvania,National Universities,#8,overall,TRUE,4.8,53534,3.6,University of Pennsylvania,national-universities,NA,UPenn,national-universities,8,private
9,NA,NA,FALSE,31,https://www.usnews.com/dims4/USNEWS/7e5b5e0/17177859217/resize/800x540/quality/85/?url=www.usnews.com%2Fcmsmedia%2F57%2F74%2Fc95b0bcc49d9972533add4f11e13%2F160728-duke-university-hero-stock.jpg,https://www.usnews.com/dims4/USNEWS/3f12795/17177859217/resize/170x170/quality/85/?url=www.usnews.com%2Fcmsmedia%2F57%2F74%2Fc95b0bcc49d9972533add4f11e13%2F160728-duke-university-hero-stock.jpg,1380,6609,Durham,27708,11,92,41,23374,NC,9,NA,duke-university,National Universities,#9,overall,TRUE,NA,53744,3.7,Duke University,national-universities,NA,NA,national-universities,9,private
10,NA,NA,FALSE,34,https://www.usnews.com/img/college-photo_93.jpg,https://www.usnews.com/img/college-photo_93_170x170mm.jpg,1510,979,Pasadena,91125,8,91,51,23973,CA,10,NA,cal-tech,National Universities,#10,overall,TRUE,NA,49908,4.6,California Institute of Technology,national-universities,NA,CalTech Cal Tech,national-universities,10,private
11,NA,NA,FALSE,30,https://www.usnews.com/img/college-photo_33512.jpg,https://www.usnews.com/img/college-photo_33512_170x170mm.jpg,1350,4310,Hanover,3755,11,90,50,23312,NH,11,NA,dartmouth-college,National Universities,#11,overall,TRUE,NA,52950,3.2,Dartmouth College,national-universities,NA,NA,national-universities,11,private
12,NA,NA,FALSE,32,https://www.usnews.com/img/college-photo_9422.jpg,https://www.usnews.com/img/college-photo_9422_170x170mm.jpg,1420,6117,Baltimore,21218,12,90,45,30067,MD,11,3.9,jhu,National Universities,#11,overall,TRUE,NA,52170,3.9,Johns Hopkins University,national-universities,NA,JHU,national-universities,11,private
13,NA,NA,FALSE,32,https://www.usnews.com/img/college-photo_3277.jpg,https://www.usnews.com/img/college-photo_3277_170x170mm.jpg,1400,8353,Evanston,60208,11,90,43,31087,IL,11,NA,northwestern,National Universities,#11,overall,TRUE,NA,52678,4,Northwestern University,national-universities,NA,NA,national-universities,11,private
14,NA,NA,FALSE,31,https://www.usnews.com/img/college-photo_26074.jpg,https://www.usnews.com/img/college-photo_26074_170x170mm.jpg,1370,6926,Providence,2912,9,86,41,24482,RI,14,NA,brown-university,National Universities,#14,overall,TRUE,NA,53419,3.3,Brown University,national-universities,NA,NA,national-universities,14,private
15,NA,NA,FALSE,31,https://www.usnews.com/img/college-photo_73.jpg,https://www.usnews.com/img/college-photo_73_170x170mm.jpg,1330,14566,Ithaca,14853,14,86,44,28068,NY,14,NA,cornell-university,National Universities,#14,overall,TRUE,4.2,52853,4.2,Cornell University,national-universities,NA,NA,national-universities,14,private
16,NA,NA,FALSE,32,https://www.usnews.com/img/college-photo_5187.jpg,https://www.usnews.com/img/college-photo_5187_170x170mm.jpg,1410,3893,Houston,77251,15,86,37,23996,TX,14,NA,rice,National Universities,#14,overall,TRUE,NA,45608,3.7,Rice University,national-universities,NA,NA,national-universities,14,private
17,NA,NA,FALSE,32,https://www.usnews.com/img/college-photo_313.jpg,https://www.usnews.com/img/college-photo_313_170x170mm.jpg,1420,6871,Nashville,37240,11,86,46,23323,TN,14,3.8,vanderbilt,National Universities,#14,overall,TRUE,NA,47664,3.4,Vanderbilt University,national-universities,NA,NA,national-universities,14,private
18,NA,NA,FALSE,32,https://www.usnews.com/img/college-photo_154.jpg,https://www.usnews.com/img/college-photo_154_170x170mm.jpg,1350,8530,Notre Dame,46556,19,85,47,29653,IN,18,NA,notre-dame,National Universities,#18,overall,TRUE,4.1,51505,3.3,University of Notre Dame,national-universities,NA,Notre Dame,national-universities,18,private
19,NA,NA,FALSE,32,https://www.usnews.com/img/college-photo_826.jpg,https://www.usnews.com/img/college-photo_826_170x170mm.jpg,1400,7540,St. Louis,63130,17,85,41,29245,MO,18,NA,washington-university-st-louis,National Universities,#18,overall,TRUE,4,51533,3.3,Washington University in St. Louis,national-universities,NA,WashU Washington University in St Louis Washington University in Saint Louis,national-universities,18,private
20,NA,NA,FALSE,30,https://www.usnews.com/img/college-photo_27270.jpg,https://www.usnews.com/img/college-photo_27270_170x170mm.jpg,1320,7453,Washington,20057,17,80,34,29667,DC,20,NA,georgetown-university,National Universities,#20,overall,TRUE,3.8,52300,NA,Georgetown University,national-universities,NA,NA,national-universities,20,private
21,NA,NA,FALSE,30,https://www.usnews.com/img/college-photo_33208.jpg,https://www.usnews.com/img/college-photo_33208_170x170mm.jpg,1290,6861,Atlanta,30322,25,78,42,24264,GA,21,3.7,emory-university,National Universities,#21,overall,TRUE,3.8,49392,NA,Emory University,national-universities,NA,NA,national-universities,21,private
22,NA,NA,FALSE,29,https://www.usnews.com/img/college-photo_1993.jpg,https://www.usnews.com/img/college-photo_1993_170x170mm.jpg,1300,29311,Berkeley,94720,16,78,23,49614,CA,21,3.9,uc-berkeley,National Universities,#21,overall,TRUE,4.5,42112,4.7,University of California--Berkeley,national-universities,NA,UC Berkeley Cal Berkeley University of California Berkeley,national-universities,21,public
23,NA,NA,FALSE,25,https://www.usnews.com/img/college-photo_5631.jpg,https://www.usnews.com/img/college-photo_5631_170x170mm.jpg,1160,30873,Los Angeles,90095,18,78,15,42896,CA,21,3.9,ucla,National Universities,#21,overall,TRUE,NA,41270,3.8,University of California--Los Angeles,national-universities,NA,UCLA University of California Los Angeles,national-universities,21,public
24,NA,NA,FALSE,30,https://www.usnews.com/img/college-photo_11612.jpg,https://www.usnews.com/img/college-photo_11612_170x170mm.jpg,1280,18794,Los Angeles,90089,17,78,33,33112,CA,21,3.7,usc,National Universities,#21,overall,TRUE,4.1,54259,3.6,University of Southern California,national-universities,NA,USC Southern Cal,national-universities,21,private
25,NA,NA,FALSE,31,https://www.usnews.com/img/college-photo_33151.jpg,https://www.usnews.com/img/college-photo_33151_170x170mm.jpg,1380,6673,Pittsburgh,15213,22,76,40,33550,PA,25,3.8,carnegie-mellon-university,National Universities,#25,overall,TRUE,4.2,53910,4.3,Carnegie Mellon University,national-universities,NA,CMU,national-universities,25,private
26,NA,NA,FALSE,29,https://www.usnews.com/dims4/USNEWS/f259df6/17177859217/resize/800x540/quality/85/?url=www.usnews.com%2Fcmsmedia%2F15%2Ff0%2Ffb426fc84d1298c35d1d9ef1e694%2F160727-university-of-virginia-hero-stock.jpg,https://www.usnews.com/dims4/USNEWS/b7533b9/17177859217/resize/170x170/quality/85/?url=www.usnews.com%2Fcmsmedia%2F15%2Ff0%2Ffb426fc84d1298c35d1d9ef1e694%2F160727-university-of-virginia-hero-stock.jpg,1240,16331,Charlottesville,22904,30,76,28,28079,VA,25,4,uva,National Universities,#25,overall,TRUE,4.2,46975,3.4,University of Virginia,national-universities,NA,UVA,national-universities,25,public
27,NA,NA,FALSE,28,https://www.usnews.com/img/college-photo_11989.jpg,https://www.usnews.com/img/college-photo_11989_170x170mm.jpg,1240,4955,Winston-Salem,27109,30,75,30,24241,NC,27,NA,wake-forest,National Universities,#27,overall,TRUE,3.4,51400,NA,Wake Forest University,national-universities,NA,NA,national-universities,27,private
28,NA,NA,FALSE,29,https://www.usnews.com/img/college-photo_25612.jpg,https://www.usnews.com/img/college-photo_25612_170x170mm.jpg,1310,28983,Ann Arbor,48109,29,74,25,32856,MI,28,3.8,university-of-michigan,National Universities,#28,overall,TRUE,4.5,47476,4.4,University of Michigan--Ann Arbor,national-universities,NA,UM University of Michigan Ann Arbor,national-universities,28,public
29,NA,NA,FALSE,31,https://www.usnews.com/img/college-photo_8428.jpg,https://www.usnews.com/img/college-photo_8428_170x170mm.jpg,1370,5508,Medford,2155,14,72,34,27034,MA,29,NA,tufts-university,National Universities,#29,overall,TRUE,NA,54318,3,Tufts University,national-universities,NA,NA,national-universities,29,private
30,NA,NA,FALSE,29,https://www.usnews.com/img/college-photo_6422.jpg,https://www.usnews.com/img/college-photo_6422_170x170mm.jpg,1250,26135,New York,10012,32,71,46,41783,NY,30,3.6,nyu,National Universities,#30,overall,TRUE,4.3,50464,2.9,New York University,national-universities,NA,NYU,national-universities,30,private
31,NA,NA,FALSE,27,https://www.usnews.com/dims4/USNEWS/a3855fb/17177859217/resize/800x540/quality/85/?url=www.usnews.com%2Fcmsmedia%2F18%2F54%2F4235c28f487bbf38ac32dfd87b82%2F160727-university-of-north-carolina-chapel-hill-hero-stock.jpg,https://www.usnews.com/dims4/USNEWS/f737ac3/17177859217/resize/170x170/quality/85/?url=www.usnews.com%2Fcmsmedia%2F18%2F54%2F4235c28f487bbf38ac32dfd87b82%2F160727-university-of-north-carolina-chapel-hill-hero-stock.jpg,1190,18523,Chapel Hill,27599,27,71,41,17815,NC,30,4,unc,National Universities,#30,overall,TRUE,4.2,34588,NA,University of North Carolina--Chapel Hill,national-universities,NA,UNC University of North Carolina Chapel Hill,national-universities,30,public
32,NA,NA,FALSE,30,https://www.usnews.com/img/college-photo_16949.jpg,https://www.usnews.com/img/college-photo_16949_170x170mm.jpg,1260,9309,Chestnut Hill,2467,31,70,35,30170,MA,32,NA,boston-college,National Universities,#32,overall,TRUE,3.6,53346,NA,Boston College,national-universities,NA,BC,national-universities,32,private
33,NA,NA,FALSE,28,https://www.usnews.com/img/college-photo_29563.jpg,https://www.usnews.com/img/college-photo_29563_170x170mm.jpg,1250,6276,Williamsburg,23187,37,70,21,42153,VA,32,NA,william-and-mary,National Universities,#32,overall,TRUE,3.3,43099,NA,College of William and Mary,national-universities,NA,William & Mary,national-universities,32,public
34,NA,NA,FALSE,29,https://www.usnews.com/img/college-photo_20366.jpg,https://www.usnews.com/img/college-photo_20366_170x170mm.jpg,1270,3608,Waltham,2454,33,68,47,29288,MA,34,3.9,brandeis-university,National Universities,#34,overall,TRUE,2.9,53582,NA,Brandeis University,national-universities,NA,NA,national-universities,34,private
