,score,elapsedTime,transformApplied,maxIterations,convergTol,n_neighbors,weight,algorithm,metric,power
320,0.8298582151793161,0.2813,False,10,1e-05,8,uniform,brute,minkowski,2
3392,0.8298582151793161,0.2836,False,30,1e-05,8,uniform,brute,minkowski,2
6851,0.8298582151793161,0.2862,False,50,0.0001,8,uniform,auto,minkowski,2
1859,0.8298582151793161,0.2876,False,20,1e-05,8,uniform,auto,minkowski,2
6464,0.8298582151793161,0.2896,False,50,1e-05,8,uniform,brute,minkowski,2
3776,0.8298582151793161,0.29,False,30,0.0001,8,uniform,brute,minkowski,2
2627,0.8298582151793161,0.2904,False,20,0.001,8,uniform,auto,minkowski,2
6848,0.8298582151793161,0.2922,False,50,0.0001,8,uniform,brute,minkowski,2
7232,0.8298582151793161,0.2931,False,50,0.001,8,uniform,brute,minkowski,2
4931,0.8298582151793161,0.2948,False,40,1e-05,8,uniform,auto,minkowski,2
1856,0.8298582151793161,0.2966,False,20,1e-05,8,uniform,brute,minkowski,2
707,0.8298582151793161,0.2971,False,10,0.0001,8,uniform,auto,minkowski,2
2243,0.8298582151793161,0.3007,False,20,0.0001,8,uniform,auto,minkowski,2
3395,0.8298582151793161,0.3009,False,30,1e-05,8,uniform,auto,minkowski,2
3779,0.8298582151793161,0.3021,False,30,0.0001,8,uniform,auto,minkowski,2
1088,0.8298582151793161,0.303,False,10,0.001,8,uniform,brute,minkowski,2
7235,0.8298582151793161,0.3033,False,50,0.001,8,uniform,auto,minkowski,2
4547,0.8298582151793161,0.3043,False,30,0.01,8,uniform,auto,minkowski,2
6467,0.8298582151793161,0.3082,False,50,1e-05,8,uniform,auto,minkowski,2
4928,0.8298582151793161,0.3091,False,40,1e-05,8,uniform,brute,minkowski,2
4163,0.8298582151793161,0.3092,False,30,0.001,8,uniform,auto,minkowski,2
1091,0.8298582151793161,0.3096,False,10,0.001,8,uniform,auto,minkowski,2
4160,0.8298582151793161,0.3097,False,30,0.001,8,uniform,brute,minkowski,2
5696,0.8298582151793161,0.3142,False,40,0.001,8,uniform,brute,minkowski,2
4544,0.8298582151793161,0.3148,False,30,0.01,8,uniform,brute,minkowski,2
704,0.8298582151793161,0.3149,False,10,0.0001,8,uniform,brute,minkowski,2
323,0.8298582151793161,0.3152,False,10,1e-05,8,uniform,auto,minkowski,2
6080,0.8298582151793161,0.3179,False,40,0.01,8,uniform,brute,minkowski,2
