,score,elapsedTime,nEst,crit,maxFeat,boots,oobScore,warmStart
293,0.8640533778148457,15.3358,80,entropy,auto,False,-1,False
301,0.8640533778148457,15.3419,80,entropy,sqrt,False,-1,False
300,0.8640533778148457,15.3539,80,entropy,sqrt,False,-1,True
294,0.8640533778148457,15.4113,80,entropy,auto,False,-1,True
295,0.8640533778148457,15.4242,80,entropy,auto,False,-1,False
292,0.8640533778148457,19.298,80,entropy,auto,False,-1,True
303,0.8640533778148457,20.7094,80,entropy,sqrt,False,-1,False
302,0.8640533778148457,20.9166,80,entropy,sqrt,False,-1,True
126,0.8640533778148457,136.753,60,entropy,0.5,False,-1,True
124,0.8640533778148457,136.8921,60,entropy,0.5,False,-1,True
125,0.8640533778148457,137.1163,60,entropy,0.5,False,-1,False
127,0.8640533778148457,137.2654,60,entropy,0.5,False,-1,False
73,0.8632193494578816,146.658,50,entropy,,True,True,False
75,0.8632193494578816,146.9295,50,entropy,,True,False,False
74,0.8632193494578816,147.5863,50,entropy,,True,False,True
72,0.8632193494578816,148.5126,50,entropy,,True,True,True
155,0.8632193494578816,175.2077,60,entropy,,True,False,False
152,0.8632193494578816,175.4048,60,entropy,,True,True,True
153,0.8632193494578816,175.4725,60,entropy,,True,True,False
154,0.8632193494578816,175.5539,60,entropy,,True,False,True
233,0.8623853211009175,205.491,70,entropy,,True,True,False
234,0.8623853211009175,205.9358,70,entropy,,True,False,True
232,0.8623853211009175,206.5398,70,entropy,,True,True,True
235,0.8623853211009175,206.7198,70,entropy,,True,False,False
446,0.8615512927439533,227.0274,100,entropy,0.5,False,-1,True
447,0.8615512927439533,228.0466,100,entropy,0.5,False,-1,False
445,0.8615512927439533,231.287,100,entropy,0.5,False,-1,False
444,0.8615512927439533,243.7922,100,entropy,0.5,False,-1,True
395,0.8615512927439533,262.4367,90,entropy,,True,False,False
394,0.8615512927439533,262.4898,90,entropy,,True,False,True
475,0.8615512927439533,290.5559,100,entropy,,True,False,False
472,0.8615512927439533,291.5522,100,entropy,,True,True,True
473,0.8615512927439533,294.3277,100,entropy,,True,True,False
393,0.8615512927439533,294.8133,90,entropy,,True,True,False
474,0.8615512927439533,305.4481,100,entropy,,True,False,True
392,0.8615512927439533,315.966,90,entropy,,True,True,True
206,0.8607172643869891,160.8524,70,entropy,0.5,False,-1,True
207,0.8607172643869891,160.9611,70,entropy,0.5,False,-1,False
204,0.8607172643869891,161.1236,70,entropy,0.5,False,-1,True
205,0.8607172643869891,161.3112,70,entropy,0.5,False,-1,False
383,0.859883236030025,17.1327,90,entropy,sqrt,False,-1,False
460,0.859883236030025,18.9411,100,entropy,sqrt,False,-1,True
453,0.859883236030025,18.9687,100,entropy,auto,False,-1,False
454,0.859883236030025,18.9792,100,entropy,auto,False,-1,True
461,0.859883236030025,18.9925,100,entropy,sqrt,False,-1,False
463,0.859883236030025,19.01,100,entropy,sqrt,False,-1,False
455,0.859883236030025,19.0586,100,entropy,auto,False,-1,False
462,0.859883236030025,19.1267,100,entropy,sqrt,False,-1,True
452,0.859883236030025,19.1862,100,entropy,auto,False,-1,True
374,0.859883236030025,20.2043,90,entropy,auto,False,-1,True
375,0.859883236030025,21.1998,90,entropy,auto,False,-1,False
382,0.859883236030025,22.7551,90,entropy,sqrt,False,-1,True
373,0.859883236030025,23.5527,90,entropy,auto,False,-1,False
372,0.859883236030025,24.3631,90,entropy,auto,False,-1,True
380,0.859883236030025,26.2814,90,entropy,sqrt,False,-1,True
381,0.859883236030025,26.7882,90,entropy,sqrt,False,-1,False
284,0.859883236030025,196.2434,80,entropy,0.5,False,-1,True
285,0.859883236030025,198.4554,80,entropy,0.5,False,-1,False
287,0.859883236030025,207.1779,80,entropy,0.5,False,-1,False
286,0.859883236030025,230.7405,80,entropy,0.5,False,-1,True
45,0.8590492076730609,114.6786,50,entropy,0.5,False,-1,False
46,0.8590492076730609,115.1807,50,entropy,0.5,False,-1,True
47,0.8590492076730609,115.2435,50,entropy,0.5,False,-1,False
44,0.8590492076730609,115.3365,50,entropy,0.5,False,-1,True
215,0.8582151793160967,13.4317,70,entropy,auto,False,-1,False
220,0.8582151793160967,13.435,70,entropy,sqrt,False,-1,True
212,0.8582151793160967,13.4759,70,entropy,auto,False,-1,True
214,0.8582151793160967,13.4817,70,entropy,auto,False,-1,True
213,0.8582151793160967,13.5018,70,entropy,auto,False,-1,False
223,0.8582151793160967,13.5257,70,entropy,sqrt,False,-1,False
222,0.8582151793160967,13.6198,70,entropy,sqrt,False,-1,True
221,0.8582151793160967,13.6368,70,entropy,sqrt,False,-1,False
262,0.8573811509591326,8.3476,80,gini,sqrt,False,-1,True
253,0.8573811509591326,8.3534,80,gini,auto,False,-1,False
260,0.8573811509591326,8.395,80,gini,sqrt,False,-1,True
261,0.8573811509591326,8.4009,80,gini,sqrt,False,-1,False
252,0.8573811509591326,8.4187,80,gini,auto,False,-1,True
254,0.8573811509591326,8.4324,80,gini,auto,False,-1,True
255,0.8573811509591326,8.4845,80,gini,auto,False,-1,False
263,0.8573811509591326,8.4867,80,gini,sqrt,False,-1,False
203,0.8573811509591326,105.1403,70,entropy,0.5,True,False,False
201,0.8573811509591326,105.7857,70,entropy,0.5,True,True,False
202,0.8573811509591326,105.9305,70,entropy,0.5,True,False,True
200,0.8573811509591326,107.1711,70,entropy,0.5,True,True,True
280,0.8565471226021685,120.0793,80,entropy,0.5,True,True,True
283,0.8565471226021685,120.1821,80,entropy,0.5,True,False,False
282,0.8565471226021685,120.8492,80,entropy,0.5,True,False,True
281,0.8565471226021685,120.9315,80,entropy,0.5,True,True,False
315,0.8565471226021685,234.7462,80,entropy,,True,False,False
314,0.8565471226021685,250.695,80,entropy,,True,False,True
312,0.8565471226021685,265.7234,80,entropy,,True,True,True
313,0.8565471226021685,277.2789,80,entropy,,True,True,False
389,0.8557130942452044,6.5255,90,entropy,log2,False,-1,False
388,0.8557130942452044,6.526,90,entropy,log2,False,-1,True
390,0.8557130942452044,6.5316,90,entropy,log2,False,-1,True
