,state,zip,returnsCount,returnsSingleCount,returnsJointCount,returnsHOHCount,totalIncome,standardDeductionReturnsCount,childDeductionCount
1,AL,35004,200.0,2440.0,3740.0,10360.0,580.0,10517.0,67.0
2,AL,35005,120.0,1670.0,2470.0,6060.0,150.0,5134.0,65.0
3,AL,35006,30.0,800.0,900.0,2520.0,110.0,1356.0,18.0
4,AL,35007,640.0,5610.0,8170.0,25020.0,1640.0,31608.0,154.0
5,AL,35010,230.0,3920.0,5510.0,15680.0,820.0,22764.0,123.0
6,AL,35014,60.0,990.0,1190.0,3160.0,150.0,3188.0,37.0
7,AL,35016,250.0,4180.0,5180.0,14670.0,840.0,12855.0,136.0
8,AL,35019,30.0,610.0,690.0,1990.0,60.0,1079.0,16.0
9,AL,35020,470.0,5460.0,7100.0,17600.0,190.0,7496.0,163.0
10,AL,35022,480.0,5600.0,7140.0,19470.0,1170.0,45531.0,136.0
11,AL,35023,410.0,5890.0,7460.0,19960.0,860.0,16691.0,162.0
12,AL,35031,110.0,1830.0,2200.0,6380.0,210.0,2789.0,62.0
13,AL,35033,40.0,880.0,1040.0,2970.0,150.0,2869.0,18.0
14,AL,35034,70.0,690.0,970.0,2800.0,70.0,1892.0,24.0
15,AL,35035,30.0,330.0,400.0,1140.0,40.0,1821.0,10.0
16,AL,35040,310.0,3710.0,6130.0,17020.0,600.0,17810.0,128.0
17,AL,35042,110.0,1250.0,1610.0,4890.0,150.0,3085.0,41.0
18,AL,35043,200.0,2930.0,3710.0,13040.0,1130.0,34806.0,40.0
19,AL,35044,100.0,1880.0,2310.0,6130.0,230.0,5592.0,59.0
20,AL,35045,260.0,3400.0,4080.0,11940.0,490.0,9132.0,94.0
21,AL,35046,120.0,1500.0,1530.0,4710.0,250.0,4470.0,34.0
22,AL,35049,80.0,970.0,1180.0,3420.0,130.0,1940.0,29.0
23,AL,35051,140.0,1820.0,2340.0,7150.0,500.0,12672.0,42.0
24,AL,35053,30.0,750.0,740.0,2350.0,230.0,4867.0,15.0
25,AL,35054,70.0,1080.0,1110.0,3740.0,410.0,8319.0,22.0
26,AL,35055,240.0,4690.0,5860.0,16570.0,1090.0,17867.0,119.0
27,AL,35057,160.0,3340.0,3990.0,11630.0,590.0,11454.0,102.0
28,AL,35058,110.0,2570.0,3020.0,8860.0,510.0,7205.0,75.0
29,AL,35061,30.0,320.0,450.0,1090.0,0.0,824.0,12.0
30,AL,35062,90.0,1880.0,2390.0,7110.0,310.0,6005.0,45.0
31,AL,35063,30.0,670.0,960.0,2640.0,70.0,576.0,20.0
32,AL,35064,230.0,2280.0,3080.0,7380.0,160.0,7692.0,85.0
33,AL,35068,140.0,2090.0,2930.0,7370.0,290.0,9993.0,54.0
34,AL,35071,230.0,4320.0,5120.0,15080.0,1180.0,25922.0,82.0
35,AL,35072,70.0,970.0,1330.0,3640.0,90.0,1670.0,39.0
36,AL,35073,30.0,510.0,710.0,1790.0,50.0,563.0,19.0
37,AL,35077,150.0,3070.0,4010.0,10810.0,420.0,5300.0,111.0
38,AL,35078,40.0,510.0,630.0,1800.0,110.0,1745.0,15.0
39,AL,35079,110.0,2160.0,2710.0,8030.0,290.0,5323.0,51.0
40,AL,35080,340.0,3910.0,5680.0,18580.0,1460.0,34127.0,78.0
41,AL,35083,40.0,780.0,910.0,2640.0,110.0,1044.0,25.0
42,AL,35085,170.0,1960.0,2480.0,7260.0,230.0,3800.0,67.0
43,AL,35087,20.0,520.0,650.0,1870.0,50.0,0.0,13.0
44,AL,35089,20.0,370.0,560.0,1470.0,20.0,0.0,16.0
45,AL,35091,40.0,750.0,960.0,3140.0,130.0,4366.0,14.0
46,AL,35094,230.0,3140.0,4430.0,12600.0,910.0,19582.0,95.0
47,AL,35096,100.0,1790.0,2720.0,7260.0,260.0,8676.0,57.0
48,AL,35097,20.0,430.0,540.0,1540.0,60.0,548.0,9.0
49,AL,35098,0.0,390.0,420.0,1190.0,50.0,0.0,10.0
50,AL,35111,300.0,4030.0,5130.0,14950.0,910.0,25082.0,80.0
51,AL,35114,130.0,1570.0,2130.0,7070.0,440.0,11625.0,34.0
52,AL,35115,290.0,2700.0,3880.0,10970.0,550.0,9134.0,78.0
53,AL,35116,80.0,1200.0,1440.0,4390.0,240.0,5393.0,23.0
54,AL,35117,80.0,1600.0,1850.0,5620.0,360.0,8807.0,23.0
55,AL,35118,50.0,720.0,960.0,2730.0,110.0,1209.0,21.0
56,AL,35120,270.0,3180.0,5020.0,14210.0,540.0,13864.0,102.0
57,AL,35121,180.0,3930.0,4240.0,12700.0,640.0,11330.0,83.0
58,AL,35124,610.0,5920.0,7240.0,23510.0,2580.0,60300.0,107.0
59,AL,35125,130.0,2250.0,3300.0,8980.0,320.0,6231.0,79.0
60,AL,35126,350.0,4640.0,6940.0,18740.0,910.0,22632.0,144.0
61,AL,35127,190.0,2400.0,3200.0,8230.0,370.0,16243.0,74.0
62,AL,35128,150.0,2360.0,2990.0,8730.0,690.0,12992.0,63.0
63,AL,35130,40.0,750.0,910.0,2440.0,70.0,799.0,24.0
64,AL,35131,40.0,840.0,1230.0,3240.0,70.0,1353.0,35.0
65,AL,35133,40.0,880.0,1210.0,3400.0,160.0,2102.0,27.0
66,AL,35135,30.0,420.0,580.0,1650.0,100.0,1713.0,14.0
67,AL,35136,0.0,380.0,460.0,1330.0,70.0,0.0,10.0
68,AL,35143,50.0,650.0,830.0,2500.0,200.0,3853.0,13.0
