zip,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
00601,18570,18533,18544,18450,18088,17982,17800,17599,17242,17113
00602,41520,41930,41640,41302,40859,40260,39716,39209,38442,37751
00603,54689,54475,54540,53683,53162,52408,51565,50135,48814,47081
00606,6615,6386,6593,6591,6415,6331,6320,6304,6437,6392
00610,29016,29111,29141,28963,28805,28328,27976,27590,27073,26686
00612,67010,70541,69017,68055,66251,64816,63884,62566,60303,59369
00616,11017,10617,10750,10183,10466,10707,10321,10687,10765,10022
00617,24597,24458,24733,24879,24917,24793,24648,24508,23974,23750
00622,7853,5419,5923,6165,6589,7425,7385,7405,6578,6741
00623,43061,45314,44943,44704,44117,42955,42711,42321,42427,41746
00624,26241,26439,26016,25340,24902,24628,23945,23238,22707,21936
00627,35159,35260,35085,34806,34438,33949,33481,32936,32222,31598
00631,1852,1836,1800,1747,1847,1664,1689,1555,1568,1499
00637,25287,25511,25312,24996,24799,24398,24013,23610,22975,22383
00638,18941,19166,18997,18742,18365,18084,17795,17202,16701,16412
00641,31191,30987,30771,30401,30183,29516,28925,28332,27571,26712
00646,38199,37942,38179,38303,38305,38396,38292,38008,37494,37095
00647,6172,5605,5869,5640,5245,5740,5711,5610,5643,5809
00650,14998,15359,15120,14969,14679,14738,14569,14664,14760,14534
00652,4715,3378,3244,3461,3831,3800,3893,3681,3697,3565
00653,13307,14048,13502,13461,13427,12514,12125,11717,11140,10484
00656,21481,21684,21438,21172,20839,20414,19996,19546,18979,18485
00659,41953,41843,41945,41932,41830,41578,41327,40978,40390,39950
00660,17250,17239,17217,17151,17023,16845,16678,16474,16180,15943
00662,43282,43600,43598,43535,43101,42499,41986,41341,40290,39700
00664,16784,16907,16665,16508,16298,15974,15693,15396,14991,14693
00667,25968,26300,26102,25797,25510,24968,24492,24089,23590,23186
00669,29744,30210,29569,28984,28442,27703,27063,26510,25653,24803
00670,9807,9867,9814,9689,9478,9333,9087,8797,8498,8364
00674,44457,44838,44365,43848,43240,42358,41545,40826,39859,38971
00676,40316,40310,40145,39916,39513,38999,38488,37862,36995,36299
00677,15272,15201,15197,15108,15012,14855,14755,14569,14311,14093
00678,27819,27733,27419,27229,27045,26815,26490,26642,26091,25624
00680,58140,57649,57220,56003,54824,52431,50628,48035,46395,45190
00682,32615,33510,32899,32509,31908,32431,32433,32820,32359,31735
00683,33772,34123,33581,33442,33050,32569,32058,31627,30424,29487
00685,42831,42753,42552,41947,41403,40800,40102,38849,38039,37058
00687,32610,32508,32617,32609,32484,32294,32087,31785,31320,30962
00688,13543,12311,13036,13340,13251,12870,12797,12360,12202,12139
00690,6255,6909,6174,6299,5906,5565,5328,5587,5352,5722
00692,37511,37691,37615,37618,37329,36777,36700,36218,35840,35135
00693,61038,61208,60873,60211,59513,58615,57428,56327,54428,53360
00694,328,199,152,157,134,77,66,88,69,64
00698,41782,42394,41788,41179,40276,39395,38502,37493,36312,35317
00703,28605,29189,29175,29153,28739,28165,27797,27137,26320,26097
00704,8577,7879,7950,7867,8100,8007,8390,7842,8274,8108
00705,25598,25665,25575,25373,25090,24717,24387,23831,23176,22662
00707,12225,12304,12201,12070,11904,11701,11506,11240,10964,10721
00714,19566,19601,19542,19443,19229,18988,18640,18363,17998,17739
00715,3656,4582,4270,4315,3714,3586,3692,3645,2972,2818
00716,33779,33314,32840,32180,31362,30876,29351,29191,28089,27513
00717,18457,18821,18615,17972,18176,17704,17958,17285,16659,16086
00718,26606,26429,26604,26767,26786,26547,26460,26073,25715,25430
00719,30990,30998,30992,30793,30772,30588,30094,29684,29119,28556
00720,23129,23212,23259,23080,22862,22676,22148,21753,21276,20758
00723,19277,19397,19225,19017,18766,18441,18135,17826,17393,16984
00725,89374,92339,91035,90206,88152,86276,83479,82822,80555,80537
00727,58382,56000,56679,56972,57036,56503,57079,56023,54823,52743
00728,44908,43451,43260,42692,42333,41337,41245,40326,39698,39083
00729,53750,54523,54914,54768,54198,53439,52897,52244,51593,51015
00730,35742,40412,39124,37931,36201,34965,33899,32735,31634,30175
00731,15524,13559,13869,14525,14320,14382,14988,13862,12722,12657
00735,13730,14088,13803,13495,13203,13063,12798,12749,12404,12159
00736,51532,51805,51689,51576,51116,50335,49841,48476,47411,46085
00738,34922,35077,35127,34492,33835,33205,32409,31558,30376,29196
00739,39678,39479,39171,38673,38424,37970,37558,37380,36847,36734
00740,2071,2310,1730,1760,1704,1515,1503,1517,1625,1915
00741,4971,5211,5189,5025,5365,5514,5042,5168,4880,4074
00745,55062,55315,54984,54681,54253,53797,53395,52624,51429,50435
00751,23129,23467,23203,23430,23020,22777,22110,22174,21009,20677
00754,40828,40846,40631,40330,40022,39651,39218,38636,37727,36893
